Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Lima,PM2.5 - Principal,2018-02-13 03:00 PM,2018,02,13,15,-999.0,-999,N/A,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-13 04:00 PM,2018,02,13,16,17.0,61,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-13 05:00 PM,2018,02,13,17,17.0,61,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-13 06:00 PM,2018,02,13,18,18.7,65,Moderate,22.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-13 07:00 PM,2018,02,13,19,18.8,65,Moderate,19.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-13 08:00 PM,2018,02,13,20,25.3,79,Moderate,32.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-13 09:00 PM,2018,02,13,21,26.1,80,Moderate,27.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-13 10:00 PM,2018,02,13,22,30.7,90,Moderate,35.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-13 11:00 PM,2018,02,13,23,31.3,91,Moderate,32.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 12:00 AM,2018,02,14,00,27.6,84,Moderate,24.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 01:00 AM,2018,02,14,01,24.3,77,Moderate,21.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 02:00 AM,2018,02,14,02,24.1,76,Moderate,24.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 03:00 AM,2018,02,14,03,22.0,72,Moderate,20.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 04:00 AM,2018,02,14,04,23.5,75,Moderate,25.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 05:00 AM,2018,02,14,05,23.7,75,Moderate,24.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 06:00 AM,2018,02,14,06,23.8,76,Moderate,24.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 07:00 AM,2018,02,14,07,23.0,74,Moderate,22.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 08:00 AM,2018,02,14,08,25.1,78,Moderate,28.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 09:00 AM,2018,02,14,09,25.9,80,Moderate,27.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 10:00 AM,2018,02,14,10,33.6,96,Moderate,41.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 11:00 AM,2018,02,14,11,33.6,96,Moderate,-999.0,UG/M3,1 Hr,Missing
Lima,PM2.5 - Principal,2018-02-14 12:00 PM,2018,02,14,12,28.5,85,Moderate,26.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 01:00 PM,2018,02,14,13,21.9,72,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 02:00 PM,2018,02,14,14,20.3,68,Moderate,19.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 03:00 PM,2018,02,14,15,19.1,66,Moderate,18.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 04:00 PM,2018,02,14,16,19.5,67,Moderate,20.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 05:00 PM,2018,02,14,17,19.2,66,Moderate,19.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 06:00 PM,2018,02,14,18,20.1,68,Moderate,21.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 07:00 PM,2018,02,14,19,20.0,68,Moderate,20.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 08:00 PM,2018,02,14,20,22.0,72,Moderate,24.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 09:00 PM,2018,02,14,21,22.0,72,Moderate,22.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 10:00 PM,2018,02,14,22,23.6,75,Moderate,27.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-14 11:00 PM,2018,02,14,23,27.9,84,Moderate,32.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 12:00 AM,2018,02,15,00,28.8,86,Moderate,30.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 01:00 AM,2018,02,15,01,27.0,82,Moderate,25.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 02:00 AM,2018,02,15,02,24.4,77,Moderate,21.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 03:00 AM,2018,02,15,03,22.3,72,Moderate,19.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 04:00 AM,2018,02,15,04,20.9,70,Moderate,19.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 05:00 AM,2018,02,15,05,17.6,63,Moderate,15.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 06:00 AM,2018,02,15,06,17.3,62,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 07:00 AM,2018,02,15,07,17.1,62,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 08:00 AM,2018,02,15,08,17.5,62,Moderate,18.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 09:00 AM,2018,02,15,09,19.2,66,Moderate,21.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 10:00 AM,2018,02,15,10,21.6,71,Moderate,24.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 11:00 AM,2018,02,15,11,22.3,72,Moderate,23.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 12:00 PM,2018,02,15,12,26.6,81,Moderate,31.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 01:00 PM,2018,02,15,13,21.3,70,Moderate,16.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 02:00 PM,2018,02,15,14,20.1,68,Moderate,19.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 03:00 PM,2018,02,15,15,17.5,62,Moderate,15.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 04:00 PM,2018,02,15,16,18.2,64,Moderate,19.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 05:00 PM,2018,02,15,17,19.1,66,Moderate,20.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 06:00 PM,2018,02,15,18,19.5,67,Moderate,20.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 07:00 PM,2018,02,15,19,17.2,62,Moderate,15.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 08:00 PM,2018,02,15,20,19.6,67,Moderate,22.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 09:00 PM,2018,02,15,21,19.3,66,Moderate,19.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 10:00 PM,2018,02,15,22,20.1,68,Moderate,21.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2018-02-15 11:00 PM,2018,02,15,23,21.0,70,Moderate,22.0,UG/M3,1 Hr,Valid
